profession,month_year,nation,salary_type,salary,median_salary
Waiter,2023-03-01,Scotland,Min,18525.0,29588
Early Years Practitioner,2021-04-01,England,Max,25866.51,29588
Early Years Practitioner,2021-04-01,Scotland,Max,31288.480000000003,29588
Early Years Practitioner,2021-04-01,Wales,Max,20825.48,29588
Early Years Practitioner,2021-05-01,England,Max,25984.08,29588
Early Years Practitioner,2021-05-01,Northern Ireland,Max,35272.51,29588
Early Years Practitioner,2021-05-01,Scotland,Max,29191.825,29588
Early Years Practitioner,2021-05-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-06-01,England,Max,26435.57,29588
Early Years Practitioner,2021-06-01,Scotland,Max,42327.01,29588
Early Years Practitioner,2021-06-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-07-01,England,Max,26136.93,29588
Early Years Practitioner,2021-07-01,Scotland,Max,,29588
Early Years Practitioner,2021-07-01,Wales,Max,21398.66,29588
Early Years Practitioner,2021-08-01,England,Max,27042.26,29588
Early Years Practitioner,2021-08-01,Northern Ireland,Max,,29588
Early Years Practitioner,2021-08-01,Scotland,Max,24455.61,29588
Early Years Practitioner,2021-08-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-09-01,England,Max,25984.08,29588
Early Years Practitioner,2021-09-01,Northern Ireland,Max,,29588
Early Years Practitioner,2021-09-01,Scotland,Max,25866.51,29588
Early Years Practitioner,2021-09-01,Wales,Max,22162.895,29588
Early Years Practitioner,2021-10-01,England,Max,26454.38,29588
Early Years Practitioner,2021-10-01,Scotland,Max,34939.48,29588
Early Years Practitioner,2021-10-01,Wales,Max,26618.4,29588
Early Years Practitioner,2021-11-01,England,Max,26366.2,29588
Early Years Practitioner,2021-11-01,Scotland,Max,29553.07,29588
Early Years Practitioner,2021-11-01,Wales,Max,29393.76,29588
Early Years Practitioner,2021-12-01,England,Max,26366.2,29588
Early Years Practitioner,2021-12-01,Scotland,Max,,29588
Early Years Practitioner,2021-12-01,Wales,Max,24073.489999999998,29588
Early Years Practitioner,2022-01-01,England,Max,25062.33,29588
Early Years Practitioner,2022-01-01,Wales,Max,25498.2,29588
Early Years Practitioner,2022-02-01,England,Max,25073.23,29588
Early Years Practitioner,2022-02-01,Scotland,Max,28603.75,29588
Early Years Practitioner,2022-02-01,Wales,Max,25073.23,29588
Early Years Practitioner,2022-03-01,England,Max,25498.2,29588
Early Years Practitioner,2022-03-01,Scotland,Max,24749.055,29588
Early Years Practitioner,2022-03-01,Wales,Max,25073.23,29588
Early Years Practitioner,2022-04-01,England,Max,25816.93,29588
Early Years Practitioner,2022-04-01,Northern Ireland,Max,27241.67,29588
Early Years Practitioner,2022-04-01,Scotland,Max,27389.32,29588
Early Years Practitioner,2022-04-01,Wales,Max,22629.65,29588
Early Years Practitioner,2022-05-01,England,Max,25498.2,29588
Early Years Practitioner,2022-05-01,Northern Ireland,Max,27241.67,29588
Early Years Practitioner,2022-05-01,Scotland,Max,27241.67,29588
Early Years Practitioner,2022-05-01,Wales,Max,22310.93,29588
Early Years Practitioner,2022-06-01,England,Max,25607.17,29588
Early Years Practitioner,2022-06-01,Scotland,Max,22576.53,29588
Early Years Practitioner,2022-06-01,Wales,Max,23373.35,29588
Early Years Practitioner,2022-07-01,England,Max,26152.0,29588
Early Years Practitioner,2022-07-01,Scotland,Max,34131.085,29588
Early Years Practitioner,2022-07-01,Wales,Max,22670.73,29588
Early Years Practitioner,2022-08-01,England,Max,25607.17,29588
Early Years Practitioner,2022-08-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-08-01,Scotland,Max,28331.335,29588
Early Years Practitioner,2022-08-01,Wales,Max,25607.17,29588
Early Years Practitioner,2022-09-01,England,Max,25607.17,29588
Early Years Practitioner,2022-09-01,Scotland,Max,28331.33,29588
Early Years Practitioner,2022-09-01,Wales,Max,25607.17,29588
Early Years Practitioner,2022-10-01,England,Max,25795.68,29588
Early Years Practitioner,2022-10-01,Scotland,Max,25852.34,29588
Early Years Practitioner,2022-10-01,Wales,Max,21959.614999999998,29588
Early Years Practitioner,2022-11-01,England,Max,26628.730000000003,29588
Early Years Practitioner,2022-11-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-11-01,Scotland,Max,23427.835,29588
Early Years Practitioner,2022-11-01,Wales,Max,22665.07,29588
Early Years Practitioner,2022-12-01,England,Max,26914.77,29588
Early Years Practitioner,2022-12-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-12-01,Scotland,Max,31845.51,29588
Early Years Practitioner,2022-12-01,Wales,Max,23373.35,29588
Early Years Practitioner,2023-01-01,England,Max,24024.0,29588
Early Years Practitioner,2023-01-01,Scotland,Max,38500.0,29588
Early Years Practitioner,2023-01-01,Wales,Max,21450.0,29588
Early Years Practitioner,2023-02-01,England,Max,24700.0,29588
Early Years Practitioner,2023-02-01,Scotland,Max,38100.0,29588
Early Years Practitioner,2023-02-01,Wales,Max,21450.0,29588
Early Years Practitioner,2023-03-01,England,Max,25000.0,29588
Early Years Practitioner,2023-03-01,Scotland,Max,26000.0,29588
Early Years Practitioner,2023-03-01,Wales,Max,23400.0,29588
Primary School Teacher,2021-04-01,England,Max,45854.26,29588
Primary School Teacher,2021-04-01,Wales,Max,43879.0,29588
Primary School Teacher,2021-05-01,England,Max,47030.01,29588
Primary School Teacher,2021-05-01,Wales,Max,44325.79,29588
Primary School Teacher,2021-06-01,England,Max,48915.92,29588
Primary School Teacher,2021-06-01,Wales,Max,42577.21,29588
Primary School Teacher,2021-07-01,England,Max,47175.81,29588
Primary School Teacher,2021-07-01,Wales,Max,44325.785,29588
Primary School Teacher,2021-08-01,England,Max,44325.79,29588
Primary School Teacher,2021-08-01,Wales,Max,42797.31,29588
Primary School Teacher,2021-09-01,England,Max,46691.28,29588
Primary School Teacher,2021-09-01,Wales,Max,42797.31,29588
Primary School Teacher,2021-10-01,England,Max,45854.26,29588
Primary School Teacher,2021-10-01,Wales,Max,46115.635,29588
Primary School Teacher,2021-11-01,England,Max,47382.74,29588
Primary School Teacher,2021-11-01,Wales,Max,47382.74,29588
Primary School Teacher,2021-12-01,England,Max,48911.22,29588
Primary School Teacher,2021-12-01,Wales,Max,45854.26,29588
Primary School Teacher,2022-01-01,England,Max,42497.0,29588
Primary School Teacher,2022-01-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-02-01,England,Max,45330.13,29588
Primary School Teacher,2022-02-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-03-01,England,Max,45330.13,29588
Primary School Teacher,2022-03-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-04-01,England,Max,45766.0,29588
Primary School Teacher,2022-04-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-05-01,England,Max,45334.49,29588
Primary School Teacher,2022-05-01,Wales,Max,40148.33,29588
Primary School Teacher,2022-06-01,England,Max,45330.13,29588
Primary School Teacher,2022-06-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-07-01,England,Max,45330.13,29588
Primary School Teacher,2022-07-01,Scotland,Max,45330.13,29588
Primary School Teacher,2022-07-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-08-01,England,Max,42497.0,29588
Primary School Teacher,2022-08-01,Wales,Max,43913.57,29588
Primary School Teacher,2022-09-01,England,Max,44369.05,29588
Primary School Teacher,2022-09-01,Wales,Max,48163.27,29588
Primary School Teacher,2022-10-01,England,Max,45330.13,29588
Primary School Teacher,2022-10-01,Wales,Max,43913.57,29588
Primary School Teacher,2022-11-01,England,Max,45330.13,29588
Primary School Teacher,2022-11-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-12-01,England,Max,45330.13,29588
Primary School Teacher,2022-12-01,Scotland,Max,,29588
Primary School Teacher,2022-12-01,Wales,Max,46746.7,29588
Primary School Teacher,2023-01-01,England,Max,41600.0,29588
Primary School Teacher,2023-01-01,Wales,Max,39000.0,29588
Primary School Teacher,2023-02-01,England,Max,41600.0,29588
Primary School Teacher,2023-02-01,Wales,Max,40950.0,29588
Primary School Teacher,2023-03-01,England,Max,42900.0,29588
Primary School Teacher,2023-03-01,Wales,Max,41600.0,29588
Retail Assistant,2021-04-01,England,Max,24233.98,29588
Retail Assistant,2021-04-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-04-01,Wales,Max,24233.98,29588
Retail Assistant,2021-05-01,England,Max,24233.98,29588
Retail Assistant,2021-05-01,Northern Ireland,Max,20428.07,29588
Retail Assistant,2021-05-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-05-01,Wales,Max,24233.98,29588
Retail Assistant,2021-06-01,England,Max,24233.98,29588
Retail Assistant,2021-06-01,Northern Ireland,Max,20428.07,29588
Retail Assistant,2021-06-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-06-01,Wales,Max,22743.715,29588
Retail Assistant,2021-07-01,England,Max,24233.98,29588
Retail Assistant,2021-07-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-07-01,Wales,Max,24233.98,29588
Retail Assistant,2021-08-01,England,Max,21780.78,29588
Retail Assistant,2021-08-01,Northern Ireland,Max,20428.07,29588
Retail Assistant,2021-08-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-08-01,Wales,Max,24233.98,29588
Retail Assistant,2021-09-01,England,Max,21895.41,29588
Retail Assistant,2021-09-01,Scotland,Max,21895.41,29588
Retail Assistant,2021-09-01,Wales,Max,21895.41,29588
Retail Assistant,2021-10-01,England,Max,21895.41,29588
Retail Assistant,2021-10-01,Northern Ireland,Max,31745.26,29588
Retail Assistant,2021-10-01,Scotland,Max,21895.41,29588
Retail Assistant,2021-10-01,Wales,Max,20496.86,29588
Retail Assistant,2021-11-01,England,Max,24102.88,29588
Retail Assistant,2021-11-01,Scotland,Max,21895.41,29588
Retail Assistant,2021-11-01,Wales,Max,24233.98,29588
Retail Assistant,2021-12-01,England,Max,27984.035,29588
Retail Assistant,2021-12-01,Scotland,Max,41268.84,29588
Retail Assistant,2021-12-01,Wales,Max,23064.695,29588
Retail Assistant,2022-01-01,England,Max,21528.27,29588
Retail Assistant,2022-01-01,Northern Ireland,Max,21248.5,29588
Retail Assistant,2022-01-01,Scotland,Max,21793.33,29588
Retail Assistant,2022-01-01,Wales,Max,20292.32,29588
Retail Assistant,2022-02-01,England,Max,23373.35,29588
Retail Assistant,2022-02-01,Northern Ireland,Max,29421.0,29588
Retail Assistant,2022-02-01,Scotland,Max,23373.35,29588
Retail Assistant,2022-02-01,Wales,Max,23373.35,29588
Retail Assistant,2022-03-01,England,Max,23373.35,29588
Retail Assistant,2022-03-01,Northern Ireland,Max,,29588
Retail Assistant,2022-03-01,Scotland,Max,23373.35,29588
Retail Assistant,2022-03-01,Wales,Max,23373.35,29588
Retail Assistant,2022-04-01,England,Max,22388.295,29588
Retail Assistant,2022-04-01,Northern Ireland,Max,20611.05,29588
Retail Assistant,2022-04-01,Scotland,Max,21460.99,29588
Retail Assistant,2022-04-01,Wales,Max,22417.17,29588
Retail Assistant,2022-05-01,England,Max,23798.32,29588
Retail Assistant,2022-05-01,Northern Ireland,Max,,29588
Retail Assistant,2022-05-01,Scotland,Max,23373.35,29588
Retail Assistant,2022-05-01,Wales,Max,23373.35,29588
Retail Assistant,2022-06-01,England,Max,22665.07,29588
Retail Assistant,2022-06-01,Northern Ireland,Max,,29588
Retail Assistant,2022-06-01,Scotland,Max,21620.35,29588
Retail Assistant,2022-06-01,Wales,Max,22997.96,29588
Retail Assistant,2022-07-01,England,Max,22310.93,29588
Retail Assistant,2022-07-01,Scotland,Max,21460.99,29588
Retail Assistant,2022-07-01,Wales,Max,22665.07,29588
Retail Assistant,2022-08-01,England,Max,23033.375,29588
Retail Assistant,2022-08-01,Scotland,Max,21460.99,29588
Retail Assistant,2022-08-01,Wales,Max,21248.5,29588
Retail Assistant,2022-09-01,England,Max,22310.93,29588
Retail Assistant,2022-09-01,Northern Ireland,Max,,29588
Retail Assistant,2022-09-01,Scotland,Max,22310.93,29588
Retail Assistant,2022-09-01,Wales,Max,,29588
Retail Assistant,2022-10-01,England,Max,23128.175,29588
Retail Assistant,2022-10-01,Scotland,Max,22310.93,29588
Retail Assistant,2022-10-01,Wales,Max,21248.5,29588
Retail Assistant,2022-11-01,England,Max,22665.07,29588
Retail Assistant,2022-11-01,Northern Ireland,Max,,29588
Retail Assistant,2022-11-01,Scotland,Max,22310.93,29588
Retail Assistant,2022-11-01,Wales,Max,22665.07,29588
Retail Assistant,2022-12-01,England,Max,24223.29,29588
Retail Assistant,2022-12-01,Scotland,Max,22310.93,29588
Retail Assistant,2022-12-01,Wales,Max,38247.3,29588
Retail Assistant,2023-01-01,England,Max,23400.0,29588
Retail Assistant,2023-01-01,Scotland,Max,,29588
Retail Assistant,2023-02-01,England,Max,23205.0,29588
Retail Assistant,2023-02-01,Scotland,Max,25602.5,29588
Retail Assistant,2023-02-01,Wales,Max,23205.0,29588
Retail Assistant,2023-03-01,England,Max,24500.0,29588
Retail Assistant,2023-03-01,Scotland,Max,30000.0,29588
Retail Assistant,2023-03-01,Wales,Max,22908.75,29588
Secondary School Teacher,2021-04-01,England,Max,48911.22,29588
Secondary School Teacher,2021-04-01,Wales,Max,44105.685,29588
Secondary School Teacher,2021-05-01,England,Max,44883.09,29588
Secondary School Teacher,2021-06-01,England,Max,48911.22,29588
Secondary School Teacher,2021-06-01,Wales,Max,45854.26,29588
Secondary School Teacher,2021-07-01,England,Max,48911.22,29588
Secondary School Teacher,2021-07-01,Wales,Max,45854.26,29588
Secondary School Teacher,2021-08-01,England,Max,45368.675,29588
Secondary School Teacher,2021-08-01,Wales,Max,39975.51,29588
Secondary School Teacher,2021-09-01,England,Max,45854.26,29588
Secondary School Teacher,2021-09-01,Wales,Max,45854.26,29588
Secondary School Teacher,2021-10-01,England,Max,48911.22,29588
Secondary School Teacher,2021-11-01,England,Max,48915.92,29588
Secondary School Teacher,2021-11-01,Wales,Max,51968.17,29588
Secondary School Teacher,2021-12-01,England,Max,50439.69,29588
Secondary School Teacher,2021-12-01,Wales,Max,42091.865000000005,29588
Secondary School Teacher,2022-01-01,England,Max,42497.0,29588
Secondary School Teacher,2022-01-01,Wales,Max,30510.67,29588
Secondary School Teacher,2022-02-01,England,Max,45330.13,29588
Secondary School Teacher,2022-03-01,England,Max,45330.13,29588
Secondary School Teacher,2022-03-01,Wales,Max,45330.13,29588
Secondary School Teacher,2022-04-01,England,Max,45334.49,29588
Secondary School Teacher,2022-04-01,Wales,Max,40148.33,29588
Secondary School Teacher,2022-05-01,England,Max,45330.13,29588
Secondary School Teacher,2022-05-01,Wales,Max,40148.33,29588
Secondary School Teacher,2022-06-01,England,Max,45757.28,29588
Secondary School Teacher,2022-06-01,Wales,Max,40148.33,29588
Secondary School Teacher,2022-07-01,England,Max,45330.13,29588
Secondary School Teacher,2022-07-01,Wales,Max,40148.33,29588
Secondary School Teacher,2022-08-01,England,Max,42497.0,29588
Secondary School Teacher,2022-08-01,Scotland,Max,46746.7,29588
Secondary School Teacher,2022-08-01,Wales,Max,40148.33,29588
Secondary School Teacher,2022-09-01,England,Max,46746.7,29588
Secondary School Teacher,2022-09-01,Scotland,Max,46746.7,29588
Secondary School Teacher,2022-09-01,Wales,Max,36830.73,29588
Secondary School Teacher,2022-10-01,England,Max,45330.13,29588
Secondary School Teacher,2022-10-01,Wales,Max,41938.87,29588
Secondary School Teacher,2022-11-01,England,Max,45330.13,29588
Secondary School Teacher,2022-11-01,Wales,Max,41938.87,29588
Secondary School Teacher,2022-12-01,England,Max,47454.985,29588
Secondary School Teacher,2022-12-01,Wales,Max,41953.04,29588
Secondary School Teacher,2023-01-01,England,Max,42900.0,29588
Secondary School Teacher,2023-01-01,Wales,Max,49400.0,29588
Secondary School Teacher,2023-02-01,England,Max,41600.0,29588
Secondary School Teacher,2023-02-01,Wales,Max,,29588
Secondary School Teacher,2023-03-01,England,Max,42250.0,29588
Secondary School Teacher,2023-03-01,Wales,Max,49400.0,29588
Waiter,2021-04-01,England,Max,22927.13,29588
Waiter,2021-05-01,England,Max,25081.11,29588
Waiter,2021-05-01,Scotland,Max,20428.07,29588
Waiter,2021-05-01,Wales,Max,35272.51,29588
Waiter,2021-06-01,England,Max,25747.17,29588
Waiter,2021-06-01,Scotland,Max,22353.955,29588
Waiter,2021-06-01,Wales,Max,20428.07,29588
Waiter,2021-07-01,England,Max,24661.364999999998,29588
Waiter,2021-07-01,Wales,Max,35860.385,29588
Waiter,2021-08-01,England,Max,25678.39,29588
Waiter,2021-08-01,Wales,Max,27512.56,29588
Waiter,2021-09-01,England,Max,22927.13,29588
Waiter,2021-09-01,Scotland,Max,27512.56,29588
Waiter,2021-09-01,Wales,Max,25105.21,29588
Waiter,2021-10-01,England,Max,25866.51,29588
Waiter,2021-10-01,Scotland,Max,25838.88,29588
Waiter,2021-10-01,Wales,Max,24417.4,29588
Waiter,2021-11-01,England,Max,27339.135000000002,29588
Waiter,2021-11-01,Scotland,Max,24417.4,29588
Waiter,2021-11-01,Wales,Max,24417.4,29588
Waiter,2021-12-01,England,Max,26392.655,29588
Waiter,2022-01-01,England,Max,25498.2,29588
Waiter,2022-01-01,Scotland,Max,23798.32,29588
Waiter,2022-01-01,Wales,Max,22629.65,29588
Waiter,2022-02-01,England,Max,23972.67,29588
Waiter,2022-02-01,Scotland,Max,23798.32,29588
Waiter,2022-02-01,Wales,Max,22629.65,29588
Waiter,2022-03-01,England,Max,25030.73,29588
Waiter,2022-03-01,Wales,Max,22629.65,29588
Waiter,2022-04-01,England,Max,26305.64,29588
Waiter,2022-04-01,Scotland,Max,,29588
Waiter,2022-05-01,England,Max,27623.05,29588
Waiter,2022-05-01,Scotland,Max,,29588
Waiter,2022-06-01,England,Max,25498.2,29588
Waiter,2022-06-01,Wales,Max,,29588
Waiter,2022-07-01,England,Max,27623.05,29588
Waiter,2022-07-01,Scotland,Max,,29588
Waiter,2022-08-01,England,Max,26560.63,29588
Waiter,2022-08-01,Scotland,Max,23373.35,29588
Waiter,2022-09-01,England,Max,25498.2,29588
Waiter,2022-09-01,Scotland,Max,,29588
Waiter,2022-09-01,Wales,Max,31600.33,29588
Waiter,2022-10-01,England,Max,27623.05,29588
Waiter,2022-10-01,Scotland,Max,24180.79,29588
Waiter,2022-10-01,Wales,Max,,29588
Waiter,2022-11-01,England,Max,28331.33,29588
Waiter,2022-11-01,Scotland,Max,24180.79,29588
Waiter,2022-11-01,Wales,Max,,29588
Waiter,2022-12-01,England,Max,31872.75,29588
Waiter,2023-01-01,England,Max,29250.0,29588
Waiter,2023-01-01,Scotland,Max,21625.5,29588
Waiter,2023-01-01,Wales,Max,21625.5,29588
Waiter,2023-02-01,England,Max,28000.0,29588
Waiter,2023-02-01,Scotland,Max,,29588
Waiter,2023-03-01,England,Max,27592.5,29588
Waiter,2023-03-01,Scotland,Max,24375.0,29588
